Năm,CẢ NƯỚC,Đồng bằng sông Hồng,Trung du và miền núi phía Bắc,Bắc Trung Bộ và duyên hải miền Trung,Tây Nguyên,Đông Nam Bộ,Đồng bằng sông Cửu Long
2009,72.8,74.2,70,72.4,69.1,75.3,73.8
2010,72.9,74.3,70,72.4,69.3,75.5,74.1
2011,73,74.2,70.5,72.4,70,75.6,74.3
2012,73,74.3,70.3,72.4,69.4,75.7,74.4
2013,73.1,74.3,70.4,72.5,69.5,75.7,74.4
2014,73.2,74.5,70.7,72.6,69.5,75.9,74.6
2015,73.3,74.5,70.8,72.7,69.9,76,74.7
2016,73.4,74.6,70.9,72.8,70.1,76,74.7
2017,73.5,74.7,71,72.9,70.2,76.1,74.8
2018,73.5,74.7,71,72.9,70.3,76.2,74.9
2019,73.6,74.8,71.1,73,70.3,75.7,75
