Năm,CẢ NƯỚC,Đồng bằng sông Hồng,     Hà Nội,     Hà Tây,     Vĩnh Phúc,     Bắc Ninh,     Quảng Ninh,     Hải Dương,     Hải Phòng,     Hưng Yên,     Thái Bình,     Hà Nam,     Nam Định,     Ninh Bình,Trung du và miền núi phía Bắc,     Hà Giang,     Cao Bằng,     Bắc Kạn,     Tuyên Quang,     Lào Cai,     Yên Bái,     Thái Nguyên,     Lạng Sơn,     Bắc Giang,     Phú Thọ,     Điện Biên,     Lai Châu,     Sơn La,     Hoà Bình,Bắc Trung Bộ và Duyên hải miền Trung,     Thanh Hoá,     Nghệ An,     Hà Tĩnh,     Quảng Bình,     Quảng Trị,     Thừa Thiên Huế,     Đà Nẵng,     Quảng Nam,     Quảng Ngãi,     Bình Định,     Phú Yên,     Khánh Hoà,     Ninh Thuận,     Bình Thuận,Tây Nguyên,     Kon Tum,     Gia Lai,     Đắk Lắk,     Đắk Nông,     Lâm Đồng,Đông Nam Bộ,     Bình Phước,     Tây Ninh,     Bình Dương,     Đồng Nai,     Bà Rịa - Vũng Tàu,     TP.Hồ Chí Minh,Đồng bằng sông Cửu Long,     Long An,     Tiền Giang,     Bến Tre,     Trà Vinh,     Vĩnh Long,     Đồng Tháp,     An Giang,     Kiên Giang,     Cần Thơ,     Hậu Giang,     Sóc Trăng,     Bạc Liêu,     Cà Mau
2002,158873,35620,4259,4065,1821,1744,2592,3532,4940,2115,2810,2260,3442,2040,26050,1444,1616,1006,1780,2250,2052,2600,1678,3080,2544,..,1401,2555,2044,41252,11266,5970,3259,1780,1421,1325,2222,2937,2443,2679,1320,1615,1085,1930,7961,1250,2270,2266,..,2175,23391,792,1745,1241,3285,1086,15242,24599,2105,2547,1866,1340,1450,2113,3689,2470,2466,..,1463,1136,1954
2003,160134,36159,4269,4170,1821,1887,2679,3547,4920,2121,3040,2260,3405,2040,26516,1439,1637,1036,1905,2350,2052,2636,1698,3180,2552,..,1526,2560,1945,39348,8606,6035,3479,1780,1457,1415,2262,2962,2423,2705,1335,1799,1095,1995,8087,1280,2261,2314,..,2232,24378,961,1740,1471,3325,1144,15737,25646,1944,2672,1959,1355,1480,2382,3774,2794,2519,..,1494,1184,2089
2004,166257,37329,4337,4184,2066,1885,2729,3727,5044,2135,3427,2290,3465,2040,27962,1560,1709,1075,1880,2585,2112,2710,1748,3340,2825,1126,791,2665,1836,39522,8343,6035,3525,1845,1554,1415,2242,3289,2375,2610,1350,1829,1115,1995,8704,1340,2331,2174,599,2260,26146,1057,1745,1548,3455,1162,17179,26594,2040,2796,2100,1370,1480,2438,3824,2938,1973,479,1661,1167,2328
2005,170276,37712,4365,4280,2066,1935,2856,3805,5150,2185,3210,2340,3475,2045,28391,1560,1788,1055,1995,2190,2152,2740,1868,3340,2920,1176,818,2825,1964,40556,8618,6170,3525,1860,1549,1560,2390,3266,2340,2640,1360,2023,1115,2140,9120,1400,2420,2338,648,2314,26829,1098,1750,1825,3455,1224,17477,27668,2074,2801,2290,1370,1695,2518,3984,3056,1424,965,1731,1347,2413
2006,176792,38609,4374,4300,2287,2030,2856,3892,5240,2205,3425,2340,3615,2045,29127,1650,1835,1105,1455,2230,2192,3174,1908,3565,2920,1200,877,2825,2191,41053,8234,6310,3715,2122,1579,1550,1766,3631,2463,2632,1355,2166,1210,2320,9899,1470,2580,2747,648,2454,28717,1138,1730,1925,3816,1402,18706,29387,2324,3016,2310,1400,1695,2816,4074,3218,1600,1178,1846,1382,2528
2007,188130,40509,4448,4560,2583,2135,3006,4227,5430,2375,3555,2390,3715,2085,30123,1759,1910,1127,1965,2180,2302,2855,1909,3645,3112,1303,919,2855,2282,43625,8460,6745,3865,1830,1794,1550,2592,3651,2560,2976,1500,2287,1305,2510,10267,1470,2660,2928,709,2500,31850,1592,1730,2025,4125,1436,20942,31756,2705,3175,2610,1580,1695,3165,4360,3390,1600,1498,2056,1410,2512
2008,195494,41503,9270,..,2520,2165,3161,4367,5500,2520,3535,2470,3850,2145,31405,1951,1932,1272,2040,2255,2364,2870,2048,3755,3221,1403,999,2945,2350,44742,8660,6615,3855,1749,1862,1580,2592,3693,2675,3136,1590,2660,1325,2750,10809,1530,2660,3158,871,2590,34142,1593,1770,2247,4535,1446,22551,32893,2807,3197,2690,1440,1695,3458,4390,3665,1600,1692,2231,1432,2596
2009,206323,44558,10066,..,3490,2175,3216,4637,5570,2685,3893,2470,4116,2240,32953,2051,1986,1182,2080,2350,2434,3023,2123,3805,4170,1222,1116,2945,2466,46894,9005,6735,3886,1866,2037,1583,2842,3759,2711,3506,1620,2981,1445,2918,11109,1575,2915,2985,919,2715,35479,1653,1770,2205,5105,1434,23312,35330,2807,3608,3090,1690,1740,3818,4510,3720,1906,1812,2561,1432,2636
2010,221633,48441,11536,..,3810,2300,2886,4725,5915,2760,4388,2660,4296,3165,35856,2421,2011,1140,2115,2500,2494,3300,2315,4129,4865,1642,1184,2945,2795,49594,9380,7240,3958,2021,2200,1816,2842,3865,2759,3806,1620,3332,1485,3270,12611,1635,3140,3441,1464,2931,37824,2120,1815,2547,6084,1444,23814,37307,3332,3210,3255,2040,1800,4635,4790,3870,2029,1851,2271,1432,2792
2011,229928,49935,11586,..,3860,2436,3831,4926,5915,3255,4615,2520,4276,2715,37461,2524,2074,1362,2205,2620,2494,3505,2596,4250,4875,1712,1514,2960,2770,51429,9630,7395,4000,2040,2340,1806,3442,4015,3229,3906,1670,3036,1565,3355,12986,1770,3231,3941,1029,3015,38772,2185,2005,2503,6415,1444,24220,39345,3332,3210,3435,2071,1850,4693,4790,4240,2069,2148,2511,2028,2968
2012,237190,52251,12953,..,3890,2590,4581,4753,6145,3190,4623,2480,4346,2700,37890,2686,2094,1044,2250,2605,2633,3475,2734,4277,4970,1712,1515,3125,2770,54031,9810,7602,3796,2080,2442,2107,3482,4016,3245,5175,2181,3105,1635,3355,13108,1815,3300,3753,1102,3138,38830,2210,2155,2463,6485,1624,23893,41080,3485,3210,3600,2235,1850,5054,4840,4360,2214,2326,2760,1934,3212
2013,245014,54531,13933,..,4020,2720,4712,5103,6175,3290,4690,2480,4613,2795,39281,2766,2162,1074,2255,2855,2878,3475,2682,4552,5165,1872,1515,3230,2800,55102,10090,8190,3760,2126,2444,2340,3482,4259,3293,4601,2076,3331,1635,3475,13649,1830,3640,4130,1144,2905,40382,2425,2145,2969,6930,1644,24269,42069,3505,3210,3740,2435,2235,5209,4840,4460,2434,2325,2450,2074,3152
2014,255807,56262,14149,..,4020,3096,4912,5094,6195,3290,5099,2524,4853,3030,42154,2721,2342,1044,2295,2910,3156,3954,2950,5327,5424,1994,1617,3290,3130,57514,10105,8470,4226,2264,2499,2587,4012,4309,3379,4966,2076,3441,1705,3475,14090,1855,3465,4223,1144,3403,41409,2311,2145,3009,7195,1804,24945,44378,3702,3609,3820,2435,2235,5654,5045,4580,2866,2485,2671,1974,3302
2015,266395,57093,14336,..,4090,3369,4812,5065,6625,3350,4939,2524,4848,3135,44025,2766,2754,1209,2380,3095,3158,4145,2996,5619,5533,2154,1536,3550,3130,61758,10355,8899,4261,2386,2594,3026,4902,4600,3730,5339,2196,3980,1705,3785,14742,1860,3811,4404,1144,3523,41801,2437,2145,3009,7240,1760,25210,46976,3852,3942,3930,2440,2535,6167,5045,4902,2966,2500,2851,2044,3802
2016,273066,58068,14336,..,4480,3886,4521,5255,6625,3270,5139,2425,5111,3020,44952,2766,2898,1209,2330,3313,3183,4295,2968,5923,5186,2680,1530,4005,2666,63621,10355,9210,4380,2511,2450,3021,5112,4720,3730,5960,2226,4282,1765,3899,15751,2147,4167,4420,1317,3700,42449,2503,2145,3177,7110,1860,25654,48225,4150,3978,4050,2490,2535,6260,5045,5112,3136,2420,3311,2041,3697
2017,264755,57081,12162,..,4560,3793,4537,5610,6625,3335,5791,2344,5319,3005,44034,2766,3059,1082,2385,3242,3173,4230,2733,4655,5539,3024,1536,3660,2950,59832,9735,9606,3740,2188,2375,2900,5112,4599,2863,5410,2261,3628,1775,3640,14520,1861,3720,4500,1134,3305,42391,2526,2165,3027,7210,1894,25569,46897,4199,4459,4050,2370,2535,4783,5048,5262,3486,2340,3071,2019,3275
